Time,Angle_rad,Center_X,Center_Y,Confidence
0,-0.26069309,60.7944,449.3885,1
0.005,-0.260344962,61.5008,449.5409,1
0.01,-0.260021258,62.1577,449.584,1
0.015,-0.259592044,63.0288,449.6704,1
0.02,-0.259118295,63.9904,450.0233,1
0.025,-0.258471321,65.3038,450.3346,1
0.03,-0.257728921,66.8112,450.7348,1
0.035,-0.25657931,69.146,450.5322,1
0.04,-0.255887829,70.5507,451.1013,1
0.045,-0.254837236,72.6854,451.4803,1
0.05,-0.253345285,75.7179,452.048,1
0.055,-0.251688996,79.0858,453.7004,1
0.06,-0.250365221,81.7786,454.4276,1
0.065,-0.249253031,84.0417,454.3423,1
0.07,-0.247726918,87.1481,455.0858,1
0.075,-0.245646558,91.3846,455.5685,1
0.08,-0.24443783,93.8471,456.9332,1
0.085,-0.242304339,98.1954,457.5698,1
0.09,-0.239615318,103.6792,459.0103,1
0.095,-0.237951833,107.0734,459.6174,1
0.1,-0.235980946,111.0966,461.2437,1
0.105,-0.2331172,116.9458,462.6641,1
0.11,-0.230974387,121.3251,462.495,1
0.115,-0.228682894,126.0107,465.0607,1
0.12,-0.226137355,131.2187,466.3294,1
0.125,-0.223335662,136.9543,466.9117,1
0.13,-0.220144139,143.4924,469.3807,1
0.135,-0.218047835,147.7894,470.0826,1
0.14,-0.214766438,154.5196,470.5823,1
0.145,-0.211549097,161.1231,472.3904,1
0.15,-0.208503261,167.3788,472.9366,1
0.155,-0.205127949,174.3159,475.117,1
0.16,-0.201412306,181.9581,477.2485,1
0.165,-0.198746505,187.4446,477.7009,1
0.17,-0.195136676,194.8787,479.3925,1
0.175,-0.191524813,202.3223,480.9207,1
0.18,-0.187754261,210.0985,482.3795,1
0.185,-0.184417656,216.9844,484.1436,1
0.19,-0.180374344,225.3345,486.149,1
0.195,-0.176722816,232.8808,486.2318,1
0.2,-0.172790781,241.0123,487.9698,1
0.205,-0.168681844,249.5156,488.3846,1
0.21,-0.164512641,258.1497,490.5025,1
0.215,-0.160251969,266.9794,491.9927,1
0.22,-0.155719374,276.3793,493.8148,1
0.225,-0.151916087,284.2719,495.4309,1
0.23,-0.147152784,294.1632,496.8902,1
0.235,-0.142949834,302.8967,498.8656,1
0.24,-0.13877962,311.5674,499.1761,1
0.245,-0.134226693,321.0396,501.1282,1
0.25,-0.129339935,331.2128,501.4312,1
0.255,-0.120003293,350.6675,503.356,1
0.26,-0.115857254,359.3137,504.2586,1
0.265,-0.110662873,370.152,506.3209,1
0.27,-0.105487529,380.9568,506.9103,1
0.275,-0.100520626,391.332,508.1387,1
0.28,-0.096442291,399.855,509.0959,1
0.285,-0.091162933,410.8929,510.0767,1
0.29,-0.086620661,420.394,510.7544,1
0.295,-0.081588775,430.9236,512.2199,1
0.3,-0.076266342,442.0659,512.6732,1
0.305,-0.071260534,452.5495,513.508,1
0.31,-0.066275174,462.994,514.6544,1
0.315,-0.061010223,474.028,515.0032,1
0.32,-0.056228768,484.0518,515.572,1
0.325,-0.050658045,495.7336,516.7401,1
0.33,-0.045493501,506.5666,516.3482,1
0.335,-0.040656438,516.715,517.1045,1
0.34,-0.035157766,528.2539,517.9655,1
0.345,-0.029743481,539.6179,517.2296,1
0.35,-0.02471423,550.1754,517.4275,1
0.355,-0.0196345,560.8402,517.9886,1
0.36,-0.014386163,571.8601,517.5161,1
0.365,-0.008948643,583.2781,517.7347,1
0.37,-0.003758818,594.1765,518.5434,1
0.375,0.001676048,605.5897,517.684,1
0.38,0.007081964,616.942,518.0397,1
0.385,0.011927664,627.1175,517.1651,1
0.39,0.017568142,638.9612,517.1464,1
0.395,0.022597161,649.52,517.4327,1
0.4,0.027519759,659.8542,517.1578,1
0.405,0.033177848,671.7307,517.3467,1
0.41,0.038622268,683.1566,516.3629,1
0.415,0.043635036,693.6745,515.4994,1
0.42,0.048746589,704.3973,515.5583,1
0.425,0.054060185,715.5411,514.0828,1
0.43,0.058797683,725.474,512.9598,1
0.435,0.063918467,736.2074,512.7576,1
0.44,0.068853534,746.5482,511.6124,1
0.445,0.074090242,757.5172,510.271,1
0.45,0.079055846,767.9144,509.8575,1
0.455,0.084456893,779.2187,508.7318,1
0.46,0.088908754,788.5325,507.5356,1
0.465,0.093598031,798.339,506.4786,1
0.47,0.098415315,808.4087,505.5243,1
0.475,0.103288032,818.5894,504.2775,1
0.48,0.10823573,828.9215,503.2165,1
0.485,0.113073177,839.018,501.8092,1
0.49,0.117615555,848.4936,501.1235,1
0.495,0.122836966,859.3794,499.7709,1
0.5,0.127017357,868.0898,497.9763,1
0.505,0.131445476,877.3113,496.7281,1
0.51,0.136111745,887.0229,495.6149,1
0.515,0.140228265,895.5852,494.0594,1
0.52,0.144737198,904.958,493.1993,1
0.525,0.149033513,913.8831,490.8463,1
0.53,0.153209009,922.5517,489.2744,1
0.535,0.157183784,930.7984,487.9475,1
0.54,0.161145819,939.0135,486.6793,1
0.545,0.165400937,947.8304,485.0995,1
0.55,0.169411096,956.134,482.924,1
0.555,0.173273127,964.1255,481.2228,1
0.56,0.177238442,972.3251,479.9702,1
0.565,0.181037524,980.1755,478.7888,1
0.57,0.184468712,987.261,477.3317,1
0.575,0.188218245,994.9987,475.4278,1
0.58,0.191933735,1002.6607,474.117,1
0.585,0.195125366,1009.238,472.5702,1
0.59,0.198650521,1016.4978,471.2612,1
0.595,0.202039208,1023.4717,469.3383,1
0.6,0.205103387,1029.7736,467.6206,1
0.605,0.208160808,1036.0576,466.0383,1
0.61,0.211340548,1042.5887,465.1507,1
0.615,0.214255636,1048.5723,463.6434,1
0.62,0.217175792,1054.5625,461.9163,1
0.625,0.220056696,1060.4684,460.5107,1
0.63,0.222772862,1066.0331,458.8662,1
0.635,0.225109494,1070.8175,458.0228,1
0.64,0.227728141,1076.1763,456.7523,1
0.645,0.229999805,1080.8224,455.6223,1
0.65,0.232501103,1085.9353,454.0045,1
0.655,0.234707901,1090.4437,452.7885,1
0.66,0.23689186,1094.9031,451.5536,1
0.665,0.239227689,1099.67,450.269,1
0.67,0.240944503,1103.1719,449.3814,1
0.675,0.243092878,1107.552,448.5029,1
0.68,0.244965159,1111.3673,447.8049,1
0.685,0.24638071,1114.2507,446.7986,1
0.69,0.248096749,1117.7448,445.5676,1
0.695,0.249567917,1120.7391,444.78,1
0.7,0.251030395,1123.7146,443.7447,1
0.705,0.252206329,1126.1063,442.9197,1
0.71,0.253617655,1128.9758,442.1922,1
0.715,0.254719679,1131.2157,441.8061,1
0.72,0.255455243,1132.7104,441.2623,1
0.725,0.256435756,1134.7024,440.7184,1
0.73,0.257254174,1136.3647,440.4464,1
0.735,0.257730792,1137.3326,440.0011,1
0.74,0.258499643,1138.8937,439.3258,1
0.745,0.259121497,1140.1561,439.3643,1
0.75,0.259459116,1140.8414,439.1664,1
0.755,0.259978142,1141.8948,439.1917,1
0.76,0.260094925,1142.1318,439.0578,1
0.765,0.260153072,1142.2498,438.9938,1
0.77,0.260163075,1142.2701,439.0459,1
0.775,0.260151101,1142.2458,439.0722,1
0.78,0.260032246,1142.0046,439.2005,1
0.785,0.259607909,1141.1434,439.4505,1
0.79,0.259247269,1140.4114,439.4531,1
0.795,0.258481714,1138.8573,439.9608,1
0.8,0.257716068,1137.3027,440.4057,1
0.805,0.256870126,1135.5847,440.3027,1
0.81,0.256248248,1134.3215,440.9539,1
0.815,0.255370445,1132.5381,441.541,1
0.82,0.254670719,1131.1162,441.9805,1
0.825,0.2531596,1128.0446,442.8609,1
0.83,0.252148943,1125.9896,443.108,1
0.835,0.251050354,1123.7552,443.9245,1
0.84,0.249417645,1120.4333,444.6792,1
0.845,0.247921383,1117.3878,445.9167,1
0.85,0.246146108,1113.7729,447.2778,1
0.855,0.244773538,1110.9769,447.7301,1
0.86,0.243069426,1107.5042,448.8102,1
0.865,0.240915769,1103.1133,449.8034,1
0.87,0.236857275,1094.8325,452.0905,1
0.875,0.234574581,1090.1714,453.5904,1
0.88,0.232336535,1085.599,454.6204,1
0.885,0.229973102,1080.7678,455.9757,1
0.89,0.227630869,1075.9773,457.2926,1
0.895,0.224757435,1070.0968,458.4254,1
0.9,0.222294348,1065.053,460.2188,1
0.905,0.21952622,1059.3812,461.6072,1
0.91,0.217215535,1054.644,462.783,1
0.915,0.214114847,1048.2834,464.1767,1
0.92,0.211040452,1041.9725,465.2564,1
0.925,0.208045122,1035.8199,466.5138,1
0.93,0.20479819,1029.1461,468.1933,1
0.935,0.201596995,1022.5619,470.1304,1
0.94,0.198476871,1016.1403,471.9829,1
0.945,0.194647074,1008.2526,473.1006,1
0.95,0.191240527,1001.2316,475.0327,1
0.955,0.187707923,993.9459,475.9267,1
0.96,0.183964273,986.2196,477.7758,1
0.965,0.176719333,971.252,480.7953,1
0.97,0.17282573,963.2,482.1702,1
0.975,0.169609463,956.5446,484.2288,1
0.98,0.164968383,946.9344,485.5773,1
0.985,0.160910296,938.5253,487.3065,1
0.99,0.156917507,930.2461,488.4755,1
0.995,0.15294892,922.0119,490.3728,1
1,0.14856274,912.9054,491.7065,1
1.005,0.144394817,904.2465,493.1875,1
1.01,0.140054466,895.2238,494.2552,1
1.015,0.135529526,885.8115,496.4025,1
1.02,0.130948971,876.2776,497.1811,1
1.025,0.126777476,867.5901,498.8116,1
1.03,0.122419449,858.5092,499.8945,1
1.035,0.117130839,847.4827,500.7567,1
1.04,0.11247792,837.7759,502.0342,1
1.045,0.107773177,827.9558,503.1683,1
1.05,0.102864689,817.7051,504.3427,1
1.055,0.097966439,807.4706,505.3196,1
1.06,0.093103927,797.3059,506.008,1
1.065,0.088349273,787.3622,506.9884,1
1.07,0.083477203,777.1686,509.6927,1
1.075,0.078708719,767.1877,509.7414,1
1.08,0.069041361,746.9417,511.544,1
1.085,0.063741917,735.8374,512.9917,1
1.09,0.058440307,724.7248,513.45,1
1.095,0.053693892,714.773,514.2122,1
1.1,0.04842192,703.7163,515.4304,1
1.105,0.043010927,692.3651,515.2161,1
1.11,0.038086064,682.0314,515.8649,1
1.115,0.032773486,670.882,515.9028,1
1.12,0.0272085,659.2008,516.9524,1
1.125,0.02240135,649.1089,517.337,1
1.13,0.01703349,637.8386,516.9322,1
1.135,0.011461441,626.1385,517.7919,1
1.14,0.006590143,615.9092,517.7529,1
1.145,0.000936095,604.0358,517.74,1
1.15,-0.00402382,593.62,518.2586,1
1.155,-0.009227417,582.6927,517.6179,1
1.16,-0.014841878,570.9032,517.8582,1
1.165,-0.01984435,560.3996,518.3172,1
1.17,-0.025063338,549.4425,517.3505,1
1.175,-0.030243467,538.5684,517.1395,1
1.18,-0.03541931,527.705,517.7181,1
1.185,-0.041141415,515.6974,516.7466,1
1.19,-0.045926953,505.6573,516.2191,1
1.195,-0.050844666,495.3422,516.5409,1
1.2,-0.056242885,484.0222,515.5504,1
1.205,-0.061197477,473.6355,514.6932,1
1.21,-0.066354252,462.8283,514.3805,1
1.215,-0.07152621,451.993,513.4761,1
1.22,-0.076367684,441.8537,512.5047,1
1.225,-0.081617967,430.8625,511.9717,1
1.23,-0.086104691,421.4735,510.9236,1
1.235,-0.091411826,410.3724,510.0424,1
1.24,-0.096469609,399.7979,509.1536,1
1.245,-0.100635923,391.0911,507.7622,1
1.25,-0.105858359,380.1824,506.6449,1
1.255,-0.111021071,369.4044,505.8391,1
1.26,-0.115851118,359.3265,504.7023,1
1.265,-0.120585932,349.4528,503.5719,1
1.27,-0.12540544,339.4083,502.5512,1
1.275,-0.129578407,330.7162,501.0573,1
1.28,-0.134291755,320.9042,501.079,1
1.285,-0.13889968,311.3177,498.997,1
1.29,-0.143042205,302.7047,498.3389,1
1.295,-0.14753478,293.3697,496.7104,1
1.3,-0.151917243,284.2695,495.3402,1
1.305,-0.155714361,276.3897,493.8684,1
1.31,-0.160115797,267.2617,492.1107,1
1.315,-0.164308362,258.5729,490.4634,1
1.32,-0.16852133,249.8479,488.9957,1
1.325,-0.172577949,241.4526,488.161,1
1.33,-0.176494986,233.3518,486.4907,1
1.335,-0.180286346,225.5163,485.6837,1
1.34,-0.184156471,217.5236,483.5411,1
1.345,-0.187721495,210.1661,482.8315,1
1.35,-0.191310372,202.7644,481.4371,1
1.355,-0.194763124,195.6483,480.1318,1
1.36,-0.198148871,188.675,478.3602,1
1.365,-0.201076675,182.6487,477.2017,1
1.37,-0.204860006,174.8668,475.0721,1
1.375,-0.208184364,168.034,473.2409,1
1.38,-0.211506627,161.2103,472.3873,1
1.385,-0.214713216,154.6288,471.095,1
1.39,-0.21763069,148.6447,469.6814,1
1.395,-0.220060844,143.6631,469.1718,1
1.4,-0.223172371,137.2887,466.9641,1
1.405,-0.225858991,131.7884,466.3943,1
1.41,-0.228385349,126.6193,465.2426,1
1.415,-0.230631974,122.0251,463.2149,1
1.42,-0.233607147,115.9448,462.237,1
1.425,-0.235547674,111.9813,461.4723,1
1.43,-0.23772399,107.5384,460.1773,1
1.435,-0.239430861,104.0555,458.6382,1
1.44,-0.241505362,99.8244,457.6663,1
1.445,-0.243713799,95.3225,457.0208,1
1.45,-0.244671694,93.3706,455.8259,1
