Frame,Time_Sec,Center_X,Center_Y,Angle_rad
1,0.0050,234.8483,352.6677,-0.1758
2,0.0100,188.8249,345.7013,-0.1981
3,0.0150,155.6860,340.3934,-0.2142
4,0.0200,119.5032,332.8503,-0.2319
5,0.0250,90.7953,327.3275,-0.2459
6,0.0300,71.3746,323.6738,-0.2555
7,0.0350,56.7580,318.6332,-0.2627
8,0.0400,47.5522,316.8581,-0.2672
9,0.0450,47.4993,317.2371,-0.2673
10,0.0500,53.7511,318.3954,-0.2642
11,0.0550,70.8092,323.6972,-0.2558
12,0.0600,84.8311,328.5662,-0.2489
13,0.0650,115.1898,334.6057,-0.2340
14,0.0700,150.7542,339.7966,-0.2166
15,0.0750,183.3783,345.6510,-0.2007
16,0.0800,228.2982,353.6025,-0.1789
17,0.0850,277.5023,357.5049,-0.1552
18,0.0900,321.5243,361.2992,-0.1340
19,0.0950,374.4954,363.9560,-0.1086
20,0.1000,428.3812,364.2177,-0.0828
21,0.1050,473.9141,362.9924,-0.0611
22,0.1100,525.8921,359.9015,-0.0363
23,0.1150,576.2077,354.3284,-0.0123
24,0.1200,616.9380,351.0194,0.0071
25,0.1250,660.8236,343.1547,0.0280
26,0.1300,700.0801,335.2509,0.0467
27,0.1350,728.6344,328.7769,0.0603
28,0.1400,756.2255,323.3230,0.0735
29,0.1450,777.5502,316.0842,0.0837
30,0.1500,790.5232,313.5962,0.0899
31,0.1550,798.1672,312.3550,0.0935
32,0.1600,800.9653,309.8438,0.0949
33,0.1650,797.2724,313.0073,0.0931
34,0.1700,786.2153,314.6135,0.0878
35,0.1750,768.5353,321.0174,0.0794
36,0.1800,748.8305,326.2019,0.0699
37,0.1850,718.3804,332.3920,0.0554
38,0.1900,682.5052,340.3449,0.0383
39,0.1950,646.9034,346.8688,0.0214
40,0.2000,601.8381,353.1536,-0.0001
41,0.2050,553.9190,358.5149,-0.0229
42,0.2100,508.9240,362.5825,-0.0444
43,0.2150,455.3116,363.6574,-0.0699
44,0.2200,402.6021,364.3739,-0.0951
45,0.2250,355.8732,363.0991,-0.1175
46,0.2300,303.0044,358.6959,-0.1429
47,0.2350,253.2612,355.0363,-0.1669
48,0.2400,213.7257,348.5336,-0.1860
49,0.2450,171.6575,343.4553,-0.2064
50,0.2500,129.5722,335.4405,-0.2269
51,0.2550,104.0168,330.7090,-0.2394
52,0.2600,79.8771,325.4766,-0.2513
53,0.2650,60.7132,320.2147,-0.2607
54,0.2700,52.1193,317.9602,-0.2650
55,0.2750,48.7100,317.3082,-0.2667
56,0.2800,51.5127,317.1172,-0.2653
57,0.2850,58.3479,321.8362,-0.2619
58,0.2900,77.5973,324.4552,-0.2524
59,0.2950,104.1200,331.0617,-0.2394
60,0.3000,132.1748,335.9879,-0.2257
61,0.3050,170.0747,342.6402,-0.2072
62,0.3100,212.4520,350.0580,-0.1866
63,0.3150,258.8128,355.5247,-0.1642
64,0.3200,307.7458,360.8226,-0.1406
65,0.3250,361.1111,363.4504,-0.1150
66,0.3300,406.2769,364.6137,-0.0934
67,0.3350,460.0314,363.6284,-0.0677
68,0.3400,513.1559,360.5952,-0.0424
69,0.3450,556.4175,356.6228,-0.0217
70,0.3500,605.5176,351.5898,0.0016
71,0.3550,648.9034,346.0739,0.0223
72,0.3600,683.2383,338.0915,0.0387
73,0.3650,719.0614,330.7350,0.0557
74,0.3700,748.8961,323.7687,0.0700
75,0.3750,768.4440,319.2210,0.0793
76,0.3800,786.1675,314.1688,0.0878
77,0.3850,797.4211,311.0733,0.0932
78,0.3900,800.1678,310.2268,0.0945
79,0.3950,798.6531,310.6978,0.0937
80,0.4000,787.8908,313.9489,0.0886
81,0.4050,775.6945,318.4091,0.0828
82,0.4100,755.1296,322.6046,0.0730
83,0.4150,726.6683,331.8301,0.0594
84,0.4200,696.8571,337.7550,0.0452
